index,article
89,22427859
120,16318699
181,19753282
266,22454753
307,22058600
337,18237375
392,20821343
395,18371229
417,15083180
477,22388996
541,17511881
568,19868926
588,19830091
591,17351857
635,17326838
650,16494717
652,22302382
765,20549299
826,19881081
836,21365197
873,22439108
955,2432071
1000,22248307
1098,18535845
1336,21183952
1709,22514568
1827,22466687
1868,21092322
1918,21392460
1926,16554245
2076,19668445
2155,22334370
2193,16909134
2249,21611067
2478,22470365
2489,8903167
2551,20433730
2552,18648518
2635,19566915
2860,22069708
2983,21328543
3142,21453522
3205,18568205
3207,20074341
3264,18279513
3297,17853646
3577,12702229
3640,11470825
3838,19641641
3872,11402072
3925,22036941
3937,18923644
3974,19267941
4045,22461932
4313,20473510
4364,18646515
4473,17971856
4610,16942393
4624,18473012
4658,11747738
4805,16965695
4858,20981102
4887,20066173
4926,22259257
5235,21483677
5311,18203189
5330,17651550
5411,19468474
5512,19503597
5527,21592999
5725,21703018
5758,22035381
5759,17553261
5826,18309693
5959,20585401
6062,12720561
6079,15861495
6134,14111594
6179,15738056
6448,18190689
6522,19582158
6559,20713317
6927,16969049
7051,19721696
7102,21750667
7124,22509165
7175,12533285
7314,19965301
7372,19721811
7448,20306072
7534,16800899
7586,20957137
7662,17125524
7715,20148115
7828,22129905
7911,22429393
8093,15200814
8166,18068815
8190,20358026
8245,21603296
8286,8459226
8454,8349732
8527,11897077
8705,20505833
8821,19935794
8901,16999868
8955,20300794
8970,21463977
9021,22207875
9138,15308859
9318,21304518
9329,15683544
9337,20012482
9508,22216886
9599,19243221
9662,14750982
9778,22495311
10007,21731657
10092,16538219
10173,18215316
10207,19348700
10231,19183751
10328,18765052
10455,17997608
10523,21798075
10656,18978936
10886,19228413
10893,19633710
10997,21274303
11149,9020500
11217,19272188
11341,18575602
11390,21490952
11410,21798066
11477,19123935
11611,22215935
11746,21994691
11836,21139990
11867,19284612
11910,17605813
11945,19785730
11948,22347935
12088,21998762
12102,20179738
12104,21952622
12204,21789182
12206,21374666
12319,16807994
12330,12904268
12441,19468907
12476,22355513
12477,22198791
12510,13723140
12527,19809896
12733,19480580
12778,20653938
12806,11266303
12938,22260904
12962,21415587
12984,16968542
13009,21756350
13107,12498649
13139,20454499
13150,21801642
13264,21274317
13281,22528130
13341,20419095
13385,21769253
13417,18044055
13449,14678568
13464,21902956
13465,20676376
13469,17130148
13545,11207055
13555,16362689
13593,16437342
13628,18218073
13642,22302857
13749,20470441
13810,17697278
13889,18360652
13925,16087714
13970,20650010
14087,17651579
14116,22422192
14175,21781329
14247,18269111
14275,11901200
14367,20176854
14572,19641634
14576,12723977
14765,22496660
14904,16515704
14980,16932998
15107,22462806
15179,21791108
15208,20049324
15352,8645577
15373,1701825
15408,22235172
15448,17032466
15484,15083178
15540,22165855
15576,21435221
15619,19718525
15765,21464890
15808,20505764
15866,18304370
15873,21904467
15882,19398592
15956,21824423
16014,21980521
16042,15631625
16062,21078140
16186,19455231
16305,20678316
16315,20431763
16326,20668852
16349,19148316
16376,21589844
16449,17184555
16559,21619691
16571,22237694
16602,18318904
16642,19775471
16692,20929538
16748,12716443
16867,19895712
17063,21386976
17228,22236411
17303,18680646
17484,20210989
17492,20428968
17659,18757886
17685,20122161
17746,17362521
17846,22204662
18083,19078957
18271,17922904
18278,18439308
18600,21249153
18683,19889198
18759,22291729
18862,19450285
18890,19011309
18975,16444391
19017,22384525
19046,20729831
19145,22347685
19181,22267908
19194,21082267
19243,20569446
19443,22113612
19454,16429284
19492,19427260
19497,19393041
19586,22187229
19593,21871063
19600,21282258
19642,22035338
19664,16280066
19678,18636273
19778,20037713
19873,10725328
19879,16965625
19966,18366792
20068,20461183
20085,12221072
20104,17284154
20483,19457253
20564,7245804
20740,15150595
20818,21762573
20849,21776304
21056,21152061
21103,18414863
21220,21249176
21225,21519485
21266,22114597
21270,20553586
21335,21988835
21597,20063969
21616,22366783
21687,18045564
21713,15150570
21795,12847138
21809,19870953
21824,19331769
21831,14626222
21891,17164992
21929,22233322
21960,22403606
22011,21293778
22038,22000354
22109,20924377
22125,962990
22231,21050423
22331,18392515
22587,21308299
22667,20721567
22767,16859504
22784,20619189
22814,21909392
22817,19636637
22879,22293886
22959,22347941
23239,17325704
23274,19238510
23289,19245930
23306,21047410
23385,17618441
23593,16784312
23678,19755994
23737,20730538
23743,21139939
23746,20840769
23756,22261201
23767,19855400
23794,21234256
23884,21733195
23890,15225363
23895,21918830
24082,16168069
24098,19284656
24164,18724357
24219,21292882
24460,20852671
24710,7175440
24736,17210076
24803,11473726
24812,22188645
24817,22275906
24824,19523314
25021,21572981
25073,2930694
25106,18593459
25196,19543490
25224,19351263
25435,20592702
25490,19050826
25695,22237025
25771,20838650
25811,17019086
25836,9472650
25857,20081859
25870,21253286
25883,17448233
25893,20404950
25958,22166113
25985,21892244
26057,20589192
26287,21958439
26316,9508772
26403,21388544
26447,21912640
26625,21883049
26715,22073151
26855,21792339
26927,19915795
26945,20169035
26986,21824422
27034,16704774
27082,15141377
27152,16390547
27326,19242475
27334,17408482
27363,21807601
27375,20389299
27420,21794140
27460,5578741
27579,20957361
27601,21532572
27639,15534005
27679,20142517
27754,20842221
27801,15084238
27959,20234830
28159,18330604
28244,20012697
28267,9721404
28268,19948016
28343,19506068
28389,17575754
28400,17598890
28514,17876373
28629,21152057
28747,20820870
28774,11286469
28897,22101430
28920,19888225
29029,16444292
29033,19127261
29049,16981986
29066,20593022
29096,14580257
29124,18495035
29271,12527753
29282,22360486
29304,10027323
29374,22164324
29697,20302644
29868,20196864
29949,18766429
30107,15730559
30134,21247505
30182,18601739
30318,14531934
30557,17603914
30650,17705823
30693,18765060
30749,7543139
30999,13531168
31003,20096093
31095,18071284
31148,21050499
31255,19861045
31299,12923340
31329,18258111
31390,21290179
31396,19296203
31411,16961917
31492,21103073
31547,20950421
31571,21645387
31623,17576444
31720,21961505
31757,22347927
31802,21150899
31903,21705770
31918,16704776
32217,11496967
32234,22466664
32269,18258119
32357,19506724
32379,16277731
32387,16704849
32529,21124998
32791,22022631
32841,21651732
32914,21483853
32946,16426445
32973,16737547
32982,12906712
33004,18682846
33076,16934006
33086,21985738
33135,19515227
33196,19841980
33402,21468186
33407,20618978
33532,18612426
33541,17114072
33629,20462442
33650,16356235
33662,16916463
33932,21234250
34011,20920276
34147,17674044
34205,17208677
34312,21694950
34459,19828036
34611,19657460
34628,17584927
34657,22134537
34678,21501432
34684,21559375
34692,20300562
34739,5778789
34817,22347194
34843,21562755
34884,21059217
35148,22253541
35200,16789820
35332,21321535
35360,20606815
35372,22385688
35446,22457667
35612,21251322
35657,21906334
35669,19851473
35684,19104657
35725,21383941
35857,21841781
35971,17443379
36036,22239907
36108,16696863
36150,21195305
36286,16778413
36303,11178230
36425,22398410
36659,20200654
36732,21124783
36784,17565380
36803,20626851
37006,18956805
37132,19820896
37210,19197364
37260,20224823
37345,18679521
37398,19545390
37400,19916685
37406,18540752
37482,22066552
37522,21531743
37529,14880228
37546,16355505
37558,18177205
37609,20165659
37618,9396521
37624,19869788
37808,19183501
37816,16193356
37820,17986328
37857,21120305
37998,12757915
38117,21496287
38138,21835007
38163,18787367
38192,15904504
38329,21915121
38440,15963275
38499,14974661
38551,10883677
38643,21904607
38670,19341478
38681,8094770
38699,21072232
38808,22346275
38810,22168358
38942,22369353
39055,22284844
39157,22516301
39184,21390060
39206,10756154
39260,19212477
39336,19239784
39337,19707407
39452,22279441
39471,20734088
39601,15217504
39659,21171991
39710,16446895
39719,15967038
39722,9722620
39775,18214193
39811,19545380
39917,22100031
39979,21431946
40025,21573018
40047,22112693
40168,19138400
40256,22524407
40276,19513105
40380,20075151
40498,16887026
40599,20819849
40644,21437678
40651,20140211
40702,20485284
40840,19156191
40890,20226059
40937,17554565
41026,19116055
41129,21042429
41139,19123930
41148,22461779
41167,21034511
41264,21339935
41451,15723695
41463,14519255
41528,20418905
41661,22143704
41700,21676208
41770,22346212
41995,20980218
42003,16193357
42022,22043238
42043,21642044
42247,22028152
42255,22460392
42317,16162033
42386,19773352
42488,17569084
42501,22335280
42872,11097375
42908,20613842
42922,21165627
43002,21694904
43131,22361516
43207,22293885
43295,19194561
43443,19534830
43467,20431734
43513,19705254
43560,21738809
43621,22388000
43852,19641245
43854,18258087
43921,11734067
43940,12682112
44065,18805839
44093,11355119
44403,1520599
44488,18435897
44673,17894899
45050,17356999
45182,10780513
45191,20412561
45455,15829201
45476,16504078
45526,19909553
45528,16318720
45536,21340197
45635,18507917
45674,16494756
45754,21504564
45836,21871125
45922,20628385
46024,22261398
46113,22045184
46129,19636493
46180,20520800
46189,15955839
46260,21122226
46315,18681960
46316,18078017
46452,15904505
46510,11161377
46564,20232210
46649,21473750
46737,21448327
46828,21911322
46896,17603888
46943,21529417
46963,20037680
47177,20387126
47280,18629362
47534,18299646
47600,12915866
47606,22457678
47609,11506484
47612,10081685
47764,21529401
47791,18382669
47929,18490949
47936,20461185
48008,19763161
48013,20021660
48123,18236119
48175,19561646
48188,21304684
48206,19787427
48251,20042111
48308,21494393
48321,15679943
48468,19660226
48492,17547743
48514,20932381
48532,19668753
48535,21857984
48614,16953450
48646,21486434
48699,18203425
48715,18046912
48726,17553271
48736,22171697
48748,20463748
49036,16677376
49046,9652771
49153,22497990
49219,19936121
49229,22528814
49236,18507905
49269,21892274
49292,22021730
49293,20044932
49674,9376260
49735,21873989
49818,22140570
50026,22231002
50053,21768192
50159,18258035
50236,19562010
50250,18080139
50373,21308162
50573,22291651
50576,16584569
50584,20171550
50600,21040565
50640,20449655
50706,16982799
50708,19679613
50771,21383975
50801,21178272
50866,18394285
50877,21289968
50887,22474406
51025,17372669
51026,22523602
51047,12773198
51124,22347962
51329,17609935
51361,22043148
51398,21483760
51420,19190775
51423,18534016
51567,22343891
51818,16961930
51869,20663210
51985,18237439
51998,22469535
52118,18082016
52139,21235776
52185,18162131
52424,21977295
52429,20667117
52461,21941449
52489,20514305
52492,20507748
52557,20453858
52564,22307434
52614,19936296
52634,19788801
52669,15025785
52684,22126402
52818,21939544
52856,19468889
52886,20809268
52910,21161733
52932,17980020
52948,19164095
53095,21431467
53106,20422276
53181,22495309
53254,16224151
53437,17359527
53536,11641544
53699,18217553
53738,19918224
53751,21978459
53866,19480697
53885,21414211
53985,20601955
54133,21059853
54146,21050479
54183,15812477
54436,22022212
54516,21577352
54550,19794945
54563,15287992
54645,19669220
54768,21532597
54805,22269280
54814,22461752
54820,19055756
54875,21998799
54897,21914172
55062,19468297
55123,21342333
55191,20145730
55252,18547417
55362,16265204
55389,21369361
55440,20587192
55455,17180588
55523,21525821
55549,16361146
55678,22379457
55704,14623864
55795,20840779
55911,18046903
55947,22348154
56129,17683625
56153,21693006
56182,16722569
56218,20844759
56255,15461798
56435,15573848
56565,22325832
56686,22000355
56737,19644540
56740,20565885
56795,19939248
56905,21086033
56910,19144126
57067,20957055
57098,22460925
57168,22035192
57360,9876663
57390,19936176
57418,19578667
57480,18162038
57515,19420089
57647,17485257
58104,20485516
58122,21949787
58244,16153259
58248,17222339
58255,18765061
58259,21569453
58375,743489
58574,12591909
58592,6331484
58655,20875283
58720,18408082
58734,21774801
58854,19957011
58966,2875078
58990,20596990
59019,749356
59054,20727136
59058,18955570
59067,22275816
59114,16835735
59199,22461935
59266,21931788
59319,17335582
59330,20181242
59359,20221250
59492,19457261
59527,21488192
59601,21234707
59651,19333369
59664,17266837
59692,12888815
59834,18985035
59838,19259097
59854,21750755
59915,15918915
59981,19798503
60055,15318951
60094,11051188
60159,21651806
60292,19956475
60430,17561571
60582,21765475
60611,15663875
60779,22121438
60798,17561570
60801,12113412
60870,22192682
60893,10499925
60991,21967988
61002,21943366
61051,19930662
61095,20011588
61160,22216395
61221,21719394
61337,18067674
61601,22151964
61603,22065147
61612,21989210
61913,22241902
61928,21255461
62190,21985734
62233,21816039
62367,19358700
62466,21518449
62514,21611969
62597,10503775
62601,20300571
62610,20223039
62687,19218199
62849,20942923
62887,19881087
62928,16674824
63009,10646879
63011,22347954
63043,20596502
63264,22515975
63278,21479128
63288,21079709
63327,8956805
63500,7473324
63559,18478114
63571,21762589
63609,21092272
63665,21087519
63688,20548948
63784,16636135
63806,18414214
63838,22363213
63876,20047676
63900,17288304
63982,19067118
64013,21510865
64018,19788837
64110,22393346
64202,19212513
64284,18853201
64329,20584320
64332,20525256
64392,12723004
64422,18510682
64438,21781317
64566,10027340
64601,16545122
64644,17587443
64660,2562132
64689,17212899
64755,22033610
64778,12493078
64821,22355676
64840,22259224
64849,19032739
64888,17310363
64954,21194480
65013,18472990
65184,22427727
65198,22355740
65338,20082691
65467,22069679
65487,22419370
65697,17331235
65815,22323880
65871,22002242
66335,21801375
66446,17086305
66475,19859541
66484,17480225
66493,20182716
66586,20149237
66594,19515234
66800,22379461
66808,19442295
66906,20857009
67003,19642973
67182,19907687
67214,22243770
67226,16723034
67336,10610204
67346,16722557
67348,17511870
67462,20098750
67485,21479187
67490,21333204
67537,16477489
67550,19707587
67585,21228919
67596,20421942
67616,18682739
67696,17031396
67751,19672659
67978,21371346
68012,22194972
68159,15798766
68273,18648544
68309,19922627
68460,15054446
68504,16434860
68505,21508015
68594,21791040
68787,19669261
68788,21590448
68855,20062780
68937,21223537
68972,21985727
69008,7841064
69340,16943915
69360,16185353
69376,21798017
69398,20041131
69461,16909131
69482,19032757
69632,20653964
69850,19534818
69879,20383143
69922,17407387
69957,19033291
69998,15698481
70068,19861063
70134,19444368
70251,17631035
70281,16494769
70289,21772948
70310,17891444
70420,16759364
70512,21092213
70623,20403794
70721,21566691
70798,17176573
70871,20592919
70884,17575505
70901,19193220
70954,18577995
70987,22331974
70990,21717269
71143,19587819
71185,18279517
71346,17655751
71359,16362648
71384,17254332
71452,18630984
71471,17263893
71544,18053144
71606,16485488
71666,22133204
71836,19955205
71881,16709359
71976,17880705
71998,21693053
72004,15608254
72199,18598342
72365,21695147
72519,9862574
72534,17177598
72569,16121380
72615,20682049
72789,20856683
72833,20529258
72851,19046463
72881,18234121
73061,18369459
73110,18575628
73129,12106498
73184,21888790
73255,21629722
73318,19960121
73377,20012068
73481,203128
73541,18573222
73667,18312686
73705,11811688
73706,20398365
73771,22350618
73790,19924273
73972,20544032
74090,16736201
74234,19954553
74248,22495300
74313,21843372
74336,18986210
74371,20839033
74385,16277730
74397,20830194
74410,9470079
74624,19649486
74651,20626892
74682,22515681
74705,17520020
74843,21143983
74851,19129969
74884,20962779
74897,17020619
74955,19470159
74983,19287537
75133,22396754
75142,18578883
75208,21293730
75259,22318812
75274,16549957
75283,21808432
75321,21179552
75350,21779147
75407,15504282
75462,18258139
75537,18598618
75553,18424796
75555,21476230
75567,17519906
75604,18267006
75613,18945920
75623,21452290
75664,10601342
75866,17903259
75964,17270046
76040,21408000
76112,18794340
76255,18606002
76265,21208974
76297,22368772
76345,19381301
76395,17299393
76515,21666687
76558,20031062
76630,19674465
76651,12603989
76694,22257431
76813,21694836
76821,16953240
76826,20592924
76827,22413934
76869,16709365
76958,21139903
76990,11388763
76991,16280077
77243,20691420
77289,18205951
77426,19822006
77486,18598651
77525,21966448
77645,18817553
77658,22085750
77789,22018437
77814,11334833
77846,19552797
77876,9062417
77958,19152683
78048,21902933
78113,19572805
78267,20066143
78347,21529421
78373,21928702
78402,21614261
78469,20587179
78600,20052547
78645,16635262
78775,12659663
78787,22123338
78797,18278491
78953,19478851
78990,18293182
78997,20806078
79085,12930555
79123,19603024
79222,16102313
79254,17116736
79303,18840270
79339,14718087
79494,18214198
79607,20967226
79631,20862453
79694,20607019
79755,22259220
79783,21460454
79818,19130068
79880,21811404
79921,18261238
79955,18330069
79980,22489151
80031,19826413
80087,22118601
80153,22368440
80366,20613923
80438,16451846
80501,19666987
80595,19607684
80784,21814474
80868,22223939
81014,20354512
81152,16764711
81287,22479431
81384,20953186
81506,2487062
81614,21291623
81679,16729843
81802,22216927
81804,18234728
81870,18182119
81896,12378027
81904,19212520
81965,21989376
81977,21575275
82018,22115124
82197,17575768
82247,18301401
82368,20350319
82445,12720560
82455,16722536
82465,21668957
82513,15882451
82571,21963515
82572,19455206
82641,21573213
82676,18196404
82709,22481979
82763,16512894
82788,16032797
82815,15890134
82824,19861981
82929,21347344
82950,20571826
83066,21258594
83152,18274842
83189,22014273
83341,16001071
83416,21762516
83599,20226058
83606,22211093
83636,18523517
83828,22500136
83890,19557115
83945,17726913
83989,21980543
84088,17923788
84146,22262474
84176,19534781
84349,21731561
84461,21176147
84474,20811877
84648,7819057
84652,18852993
84848,20946682
84876,19763666
85039,22240170
85167,21752254
85195,16154823
85226,9667683
85242,20411268
85310,21251323
85353,16707051
85554,10967569
85577,21359622
85722,21492438
85776,20711175
85914,22006582
85917,19891792
85927,19829694
85976,15958156
86042,15496250
86069,21847328
86085,18237505
86128,18982057
86147,21909334
86187,22410797
86198,21599936
86484,19793495
86534,21379321
86630,17974004
86811,19679614
86826,20658024
86883,19543487
86924,20889864
87043,13985244
87044,19019215
87054,18166138
87074,20368975
87102,21235746
87117,21200417
87219,12967496
87248,1733434
87358,19219610
87369,18637169
87610,21624970
87665,17564760
87713,20530205
87715,20549505
87739,11747474
87751,14966528
87772,16631551
87852,21931759
88039,20507772
88047,18478057
88135,17252303
88142,22033743
88219,22253788
88256,20546687
88317,22232589
88321,20484371
88416,11795767
88619,19602252
88700,20549087
88706,3756082
88860,20836861
89131,19495920
89253,20714437
89281,19529807
89344,22002489
89354,17477859
89364,21887305
89374,19660216
89420,20109225
89487,19626391
89501,19245695
89521,18629354
89538,17701430
89558,21478889
89594,21308550
89615,19881983
89728,20158883
89874,19169254
89924,15826316
89938,14757746
89988,18583880
90011,21915128
90028,22268990
90094,12969510
90289,19476658
90415,11237396
90504,17052327
90888,20458645
90890,21437064
90908,21542893
91015,16479253
91030,19946711
91063,22463387
91065,21170305
91082,10604732
91100,9989453
91118,22355306
91271,22027213
91317,11747719
91365,22263104
91402,20938694
91550,22404233
91593,15050029
91614,16450456
91642,22429697
91903,17561987
91923,20164920
91966,20003547
92126,20028502
92136,21031162
92170,20694796
92215,16704850
92369,16891802
92376,3082891
92428,20875136
92467,19400968
92693,19660227
92729,22272800
92778,19572033
92977,22000356
92978,21533230
92981,22179318
93024,20624281
93030,22348148
93055,22393333
93073,22146131
93083,18655700
93133,18297293
93159,20223017
93194,21407969
93201,16446899
93292,21486468
93336,20156335
93454,22197934
93514,20108535
93552,18764949
93575,21625634
93866,22291465
93985,19366447
94020,20630065
94092,22066102
94296,22322507
94490,17353925
94509,18471269
94567,21649882
94824,22313950
94941,20886637
94991,20204090
95105,7595207
95176,22337773
95296,21829713
95323,20302628
95539,22384167
95583,20412573
95722,21888643
95760,18159581
95784,11696602
95822,19190755
95943,17634143
96065,20409399
96102,18225462
96137,22226320
96194,22204307
96267,17252300
96545,20865050
96568,20955607
96655,18648526
96688,16965632
96745,16262899
96862,20049711
96936,22323846
97031,20003257
97369,21911422
97390,18700974
97559,3533951
97593,20148173
97635,21703028
97693,21985737
97721,21520341
97817,17845716
97890,21103340
97895,20213124
97913,20964837
97984,20156739
97987,22292815
98094,20737145
98133,21592404
98139,17076561
98142,21085701
98163,19087331
98287,20519609
98326,6491602
98374,18657274
98427,21279515
98494,20588274
98515,15340374
98540,20596995
98696,18594873
98805,21293785
98812,19707408
98841,9743309
98991,20368967
99072,20530917
99145,20130649
99149,20698714
99157,21727188
99179,12921537
99266,20803296
99268,7699330
99321,22069374
99329,19924277
99375,21677795
99395,22260418
99420,18656264
99510,22408570
99618,17651551
99770,22035445
99872,18094753
99877,21214933
99897,19016595
99971,20593189
100007,1556154
100062,19672264
100178,19513731
100235,22461917
100394,22017761
100432,21211024
100464,21829684
100519,19432967
100580,21799892
100688,22470233
100837,19922642
100884,17987215
100943,12847137
101006,15834985
101044,21084314
101240,11076718
101251,21472023
101344,21745374
101362,21912685
101372,17453130
101525,21475730
101631,12778069
101744,22114553
101862,20422030
102256,19032785
102265,22375711
102384,21045191
102636,17895895
102719,20809250
102860,15113447
102901,21689444
103023,16102309
103064,20923544
103067,10511523
103242,15702125
103295,2475571
103459,18380889
103511,21874000
103518,21902819
103579,20233678
103654,20026663
103677,21560015
103725,19543504
103757,22286218
103765,20179705
103809,19698141
103870,12906714
103885,21556351
104099,12631394
104247,22226226
104334,19331732
104417,9763602
104693,22490226
104921,21602792
105148,11394431
105205,19736282
105260,22389686
105296,18817572
105482,17311467
105526,20956244
105537,20556434
105640,9858507
105661,17076895
105782,20046230
105819,7825345
105827,16432251
105972,22180268
106057,20113555
106126,18704458
106408,17436129
106491,21738161
106505,18772890
106539,18374680
106566,21532836
106592,18465152
106597,21031022
106762,19859534
106767,20360918
106828,22076204
106876,19039271
106995,16106247
107153,18813312
107446,17088434
107447,19468309
107473,18489744
107594,21605439
107683,18271966
107713,19830208
107737,21927292
107755,17296794
107926,17559650
107955,21423741
107965,16381377
108033,19788806
108041,18728842
108121,19523210
108220,22355492
108257,22347314
108471,19918439
108553,22095454
108725,22220257
108997,15187996
109029,19089213
109236,20084194
109251,19333649
109263,17353923
109468,10341180
109539,21811900
109549,20459843
109601,21437061
109612,9703491
109687,21441907
109744,14676458
109772,22358844
109863,19765472
109884,4633840
109922,20725778
110076,15984713
110081,19001017
110222,22163003
110233,20833738
110260,20049078
110280,21949517
110353,21253578
110437,22194875
110568,22214387
110593,16677383
110677,22523721
110788,17062131
110791,20119679
111041,21040555
111055,19793480
111088,17031402
111096,17003843
111159,19523315
111241,16007416
111258,21345767
111328,21617752
111360,21179536
111393,18449155
111657,18765063
111706,20856870
111763,4830144
111808,18811966
111818,21208438
111848,15890137
111958,21961884
112013,20667122
112058,20667127
112116,21599949
112164,17640391
112191,16712713
112339,22359484
112372,22516948
112398,18667063
112427,17223989
112436,20663180
112445,22322515
112488,21695106
112541,18816383
112649,21430775
112656,22505958
112674,22363379
112756,10598916
112805,22510321
112970,22046273
113000,22125753
113007,19445730
113031,20890278
113124,20643877
113130,16907974
113165,17958891
113214,22358457
113298,20450448
113306,16504158
113397,16229782
113450,18788891
113542,19430560
113552,21331281
113585,21720365
113600,21801344
113611,21909353
113738,20352254
113917,22279433
113920,21206767
113923,20601685
113938,15714667
114010,20062592
114018,20614197
114120,21258598
114346,19621072
114470,19664240
114487,21687627
114499,22134511
114533,21938255
114609,18228057
114626,18925334
114660,18822153
114880,19399233
115026,21985720
115030,16570048
115195,22078000
115220,7516873
115297,21252172
115302,17164017
115366,22184521
115383,21810886
115419,18202831
115500,19668577
115508,21575282
115578,8256463
115643,17254323
115743,22383978
115800,19788800
115857,22401289
115929,19308478
115960,18976559
115961,21453447
116005,12703983
116035,21477303
116061,21674179
116167,21533184
116184,22420048
116229,18215315
116239,21457520
116250,21274329
116333,6516448
116350,22527578
116352,19182506
116533,18959804
116614,19660230
116618,21970882
116648,19830198
116707,19114008
116722,20309394
116738,11818029
116829,17337130
116848,14583757
116954,16536881
116955,21291588
116976,19089494
117078,12900519
117127,15193151
117200,10224280
117239,19250521
117278,21333186
117504,18728707
117534,22497773
117540,21479535
117585,22396802
117744,20799989
117752,21738881
117775,20644724
117799,15554285
117839,18237518
117850,18982914
117895,14993253
117982,21339933
118037,19436626
118108,21808600
118112,19930726
118202,20976243
118263,22031286
118341,21418635
118458,20224959
118544,20145619
118733,22355308
118742,2391360
118775,22187615
118778,17552103
118859,15554289
118862,21884645
119036,22214468
119041,18998768
119060,19930656
119170,8642298
119199,17090329
119275,18679529
119377,20825655
119466,18435847
119472,22113432
119483,22301699
119518,11897082
119531,15834987
119534,18059130
119555,22291785
119564,20028501
119795,16989669
119801,3814476
119824,21240275
119918,10817497
120050,22363452
120077,16274483
120097,20008522
120185,17266758
120232,22216833
120261,13525581
120412,15637473
120755,19841714
120970,19337443
121026,18577985
121038,20733033
121061,21283790
121114,22444252
121509,11961319
121544,22213561
121546,19664211
121560,21572705
121574,20049715
121578,17892568
121635,20230635
121970,8903148
122026,17014705
122030,15774072
122059,21643920
122061,17456235
122106,16722529
122210,22419563
122223,9493849
122231,19759907
122289,21284877
122349,17326944
122379,17187683
122457,21152010
122597,21116430
122613,14710208
122651,21874003
122668,21931873
122715,21629191
122719,18217559
122784,18437005
122948,19143700
122958,20195903
122960,17616025
122961,19774166
123121,16147975
123159,15200871
123170,20835545
123217,22143450
123218,16804518
123231,22122756
123308,22460646
123328,19949482
123330,10076517
123365,21375741
123393,21719397
123414,18325251
123479,21504335
123494,21445286
123511,20565829
123537,21479234
123610,18039390
123677,18095038
123703,21864381
123717,22192091
123762,20237798
123870,21771323
123878,16242016
124003,17433111
124088,19541582
124124,17331238
124316,22099088
124393,22053731
124755,18577988
124777,12702224
124907,19640274
125132,20492708
125340,11051185
125397,9876684
125459,21192884
125543,19399183
125724,18728724
125760,18257927
125831,22355786
125841,11376958
126013,20208544
126019,17954608
126111,21120165
126149,22355250
126184,20857106
126193,8645580
126291,20691089
126302,12777182
126383,22517427
126411,21091269
126439,19212523
126474,21092187
126513,19270863
126616,17252294
126620,18418554
126626,20957191
126684,21385346
126910,19500382
126921,18030505
126985,11381081
127042,19668464
127086,22384103
127100,17901088
127137,22490062
127195,22216316
127292,21824387
127306,16405731
127313,20808806
127346,17594176
127484,19936195
127572,8064236
127583,21373322
127875,17877805
127902,21423656
127963,21192848
128173,17112371
128270,21284869
128294,20700521
128319,21221095
